,Intrinsic,Extrinsic
PHLPP2,0.999262016,0.000737984
SPDL1,0.999906238,9.38E-05
STAU2,0.164665903,0.835334097
PQLC2,1,4.48E-10
CTNS,0.959559312,0.040440688
RTN4R,0.580913186,0.419086814
PHF23,0.999963076,3.69E-05
CDH10,0.368501962,0.631498038
INPP4A,1,4.89E-14
RAB27B,0.220158721,0.779841279
PSMA4,0.907053003,0.092946997
MYO16,6.15E-07,0.999999385
LSG1,0.999063169,0.000936831
PARP3,0.643295464,0.356704536
TNC,1,2.68E-18
THAP3,0.999986872,1.31E-05
RIPOR3,0.845607312,0.154392688
TDP1,0.998184368,0.001815632
AIFM2,0.820397729,0.179602271
C2orf83,0.364285437,0.635714563
SPATA7,0.21584484,0.78415516
MED17,0.999999999,6.63E-10
RETSAT,0.736313481,0.263686519
CAPG,0.999993763,6.24E-06
AP2S1,0.546974653,0.453025347
USH2A,0.384348633,0.615651367
ZPBP,0.034777775,0.965222225
TG,0.85452754,0.14547246
ADAM28,0.999162715,0.000837285
BARX2,0.036894898,0.963105102
DCUN1D1,0.802454928,0.197545072
JADE2,0.809199523,0.190800477
ZIC2,1,6.87E-37
LCP2,0.649154076,0.350845924
TRIT1,0.999999175,8.25E-07
ADRB1,0.999999999,1.44E-09
GUCA2B,0.976559814,0.023440186
CUL7,0.999999999,5.58E-10
CTNNA1,0.826594396,0.173405604
PHKA2,0.99999621,3.79E-06
CNTLN,0.279818494,0.720181506
EPHA3,0.000945842,0.999054158
HSPA5,1,5.04E-11
DSG2,1,2.53E-23
GEMIN8,0.999999999,5.24E-10
OFD1,0.999999156,8.44E-07
GPM6B,1,2.13E-30
MAGEC2,0.924955881,0.075044119
PREX2,0.972236393,0.027763607
WDR37,0.411011348,0.588988652
YTHDC2,0.808575285,0.191424715
CTPS2,0.328464367,0.671535633
ATP6V1H,0.669947512,0.330052488
POLR2B,0.984405202,0.015594798
FAM214A,0.999470801,0.000529199
ARAP2,0.999867582,0.000132418
TPR,0.999589833,0.000410167
CP,1,2.64E-19
KIAA0556,0.999999954,4.60E-08
DTNBP1,0.995784438,0.004215562
XK,0.443213238,0.556786762
ANO2,0.42791564,0.57208436
C12orf4,0.999895428,0.000104572
SCML1,0.618934109,0.381065891
WWC3,0.671543854,0.328456146
ARHGAP6,0.387523542,0.612476458
FAM184B,6.75E-34,1
MAP4,0.999911853,8.81E-05
GOPC,0.997812724,0.002187276
ROS1,0.805538273,0.194461727
USP28,0.934709615,0.065290385
HDAC9,0.558396337,0.441603663
TSPAN17,0.999315085,0.000684915
NOP16,0.562827792,0.437172208
CC2D2A,0.877809711,0.122190289
RRM2B,0.955561082,0.044438918
ZNF800,0.997215516,0.002784484
TNFRSF17,1,1.03E-24
SNX29,0.999718521,0.000281479
LMO3,0.913619873,0.086380127
MRPS10,0.999041712,0.000958288
GUCA1A,0.247040272,0.752959728
RSF1,0.575759792,0.424240208
VPS13D,0.999997098,2.90E-06
CELF2,0.517071544,0.482928456
FAM120A,0.823906773,0.176093227
R3HDM1,0.584430062,0.415569938
COL9A2,0.957102838,0.042897162
KITLG,0.297287399,0.702712601
ERCC8,0.869634568,0.130365432
ADAMTS6,0.287875396,0.712124604
H6PD,0.967184417,0.032815583
VAMP3,0.230275842,0.769724158
PER3,0.87416741,0.12583259
UTS2,0.94559856,0.05440144
TNFRSF9,0.587501285,0.412498715
EPN3,1,3.78E-17
LTBP1,0.257140322,0.742859678
RCN1,0.995098338,0.004901662
ELN,1,5.14E-25
RFC2,0.797510602,0.202489398
ARID1B,0.999988203,1.18E-05
CLPTM1L,0.998504307,0.001495693
NEDD4L,0.8122582,0.1877418
FOXP3,0.915921139,0.084078861
PPP1R3F,0.298903854,0.701096146
HEXB,0.968500294,0.031499706
PTCD2,0.999988372,1.16E-05
NEXMIF,1,1.12E-17
JKAMP,0.266505228,0.733494772
DKK3,0.998069337,0.001930663
ARHGEF5,0.999999393,6.07E-07
NFE2L3,0.552462098,0.447537902
MCUR1,0.301546918,0.698453082
LIMA1,0.997666691,0.002333309
LETMD1,0.607345592,0.392654408
SLC4A8,0.999999998,2.08E-09
LAMC3,0.247040296,0.752959704
PTGER3,0.322094049,0.677905951
TNIP3,0.23022354,0.76977646
MAPK9,0.523182153,0.476817847
COL23A1,1,2.18E-11
BCAR1,0.69206743,0.30793257
FAM160A2,0.999999998,2.18E-09
HERPUD1,1,5.99E-14
HOMER3,0.984174503,0.015825497
RAD51,1,1.19E-12
POLQ,0.389952915,0.610047085
PIK3CB,0.300611041,0.699388959
CYBA,0.861992895,0.138007105
THOC3,0.949700078,0.050299922
HEBP2,0.799435024,0.200564976
MPHOSPH9,0.640055183,0.359944817
PLEKHA5,0.408230549,0.591769451
PRSS8,0.364285439,0.635714561
SIKE1,0.948606907,0.051393093
RRP12,0.995269463,0.004730537
FNIP2,0.999313273,0.000686727
MSMO1,0.426278215,0.573721785
TTC17,0.999999999,7.00E-10
ALX4,0.364285431,0.635714569
FSTL4,0.386053262,0.613946738
FOXN3,0.899796407,0.100203593
METTL24,0.298603694,0.701396306
AKR7A2,0.766771746,0.233228254
MRTO4,0.986559191,0.013440809
NNAT,0.517717688,0.482282312
USE1,0.768048207,0.231951793
MCF2L2,0.383124347,0.616875653
NRIP2,1,1.94E-46
LAMA3,1,4.07E-18
AP5M1,0.85444907,0.14555093
ANAPC4,0.99999666,3.34E-06
KCNQ1,0.999936239,6.38E-05
TRAPPC3,0.934162428,0.065837572
THRAP3,0.999535096,0.000464904
PHPT1,0.880686212,0.119313788
ENTPD2,1,4.92E-22
LY75,0.999999851,1.49E-07
ARID4B,0.965863034,0.034136966
OPN3,0.996750386,0.003249614
SDCCAG8,0.521355859,0.478644141
PTPRN,0.324945123,0.675054877
HHAT,1,9.80E-20
KIF1B,0.871660632,0.128339368
FOXC1,0.188683924,0.811316076
TBC1D22A,0.918440335,0.081559665
SYNE2,0.872059886,0.127940114
PLEKHH1,1,7.12E-17
ATP9A,0.34322795,0.65677205
SPO11,NA,NA
CBLN4,1,5.43E-25
CHRDL2,2.15E-137,1
FAM168A,0.921365377,0.078634623
RELT,1,3.20E-21
GALC,0.984488747,0.015511253
NOP58,0.96037422,0.03962578
SZRD1,0.683417436,0.316582564
KCNH2,0.981955709,0.018044291
CUL1,0.910053656,0.089946344
FAM114A2,0.760991479,0.239008521
CYFIP2,0.99701786,0.00298214
TAB2,0.623517651,0.376482349
GINM1,0.943811116,0.056188884
EIF2AK2,0.852876047,0.147123953
USP36,0.999997682,2.32E-06
KMT2C,0.516825119,0.483174881
MCOLN3,0.364285428,0.635714572
CCDC85A,0.999993361,6.64E-06
PUM2,0.757037422,0.242962578
MRPL43,0.591532596,0.408467404
ITIH4,1,1.23E-47
ITIH1,0.468910703,0.531089297
HPF1,0.99920569,0.00079431
ZFR,0.848529731,0.151470269
ZNF280C,0.512975707,0.487024293
NPFFR2,1,1.22E-43
PHF21B,0.603859508,0.396140492
TRAF1,0.999998788,1.21E-06
RC3H2,0.591699773,0.408300227
IL17RB,0.153587174,0.846412826
TRAF3IP2,0.957837722,0.042162278
GYG2,1,2.19E-13
DCBLD2,0.416302595,0.583697405
SERPINB3,0.856155622,0.143844378
SOAT1,0.422971742,0.577028258
PKP2,0.236305772,0.763694228
MSH4,0.47127047,0.52872953
F7,1,1.30E-45
GDI2,0.881816983,0.118183017
PRDM1,0.967806323,0.032193677
ATG5,0.844666021,0.155333979
TMCC3,0.999952814,4.72E-05
PITHD1,0.802141801,0.197858199
MTA3,0.91183966,0.08816034
USP13,0.725179117,0.274820883
ATP11B,0.786602653,0.213397347
LAMC2,1,3.76E-13
CDK14,0.649770591,0.350229409
SEC61A1,0.999998538,1.46E-06
PPP1R12A,0.708700292,0.291299708
RASGRF1,1,2.50E-11
CAMK2B,1,1.49E-43
CROCC,0.999999978,2.23E-08
POLR3E,0.956849334,0.043150666
ATP2B4,0.999999999,1.40E-09
ZC3H11A,0.438976905,0.561023095
RIOK2,0.99540649,0.00459351
YIPF1,0.983015809,0.016984191
